"cic_id","i94_year","i94_month","i94_city_cd","city_name","i94_state_cd","arr_date","dep_date","ins_num","male_pop","female_pop","total_pop","avg_temperature","median_age","avg_hh_size"
"642558.0","2016.0","4.0","MIA","Miami","FL","2016-04-04","2016-04-15",,"215840","225149","440989","75.9922","40.4","2.5"
"3554693.0","2016.0","4.0","BLA","Blaine","WA","2016-04-19","2016-04-20",,,,,,,
"5342910.0","2016.0","4.0","HOU","Houston","TX","2016-04-28","2016-05-01",,"1149686","1148942","2298628","72.1044","32.6","2.66"
"2867437.0","2016.0","4.0","MIA","Miami","FL","2016-04-15","2016-05-16",,"215840","225149","440989","75.9922","40.4","2.5"
"5662583.0","2016.0","4.0","NEW","Newark/Teterboro","NY","2016-04-30","2016-05-07",,,,,,,
"4338665.0","2016.0","4.0","NYC","New York","CA","2016-04-23","2016-05-16",,,,,,,
"3869924.0","2016.0","4.0","NEW","Newark/Teterboro","NJ","2016-04-21","2016-04-24",,,,,,,
"2737342.0","2016.0","4.0","WPB","West Palm Beach","HI","2016-04-15","2016-04-25",,,,,,,
"1421234.0","2016.0","4.0","MIA","Miami","NY","2016-04-08","2016-04-15",,,,,,,
"5973747.0","2016.0","4.0","SAI","Saipan",,"2016-04-08","2016-04-10","3971",,,,,,
"56519.0","2016.0","4.0","HHW","Honolulu","HI","2016-04-01","2016-04-06",,,,,,,
"1025877.0","2016.0","4.0","ATL","Atlanta","HI","2016-04-06","2016-04-11",,,,,,,
"2002746.0","2016.0","4.0","NYC","New York","NY","2016-04-11","2016-04-13",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"5488331.0","2016.0","4.0","NYC","New York","NY","2016-04-29","2016-05-15",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"4317940.0","2016.0","4.0","ORL","Orlando","FL","2016-04-23","2016-04-30",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"975537.0","2016.0","4.0","SFR","San Francisco","UN","2016-04-05","2016-04-26",,,,,,,
"2469865.0","2016.0","4.0","BOS","Boston","FL","2016-04-13","2016-04-23",,,,,,,
"5743519.0","2016.0","4.0","NYC","New York","CA","2016-04-30","2016-06-14",,,,,,,
"969559.0","2016.0","4.0","MIA","Miami","FL","2016-04-05","2016-04-18",,"215840","225149","440989","75.9922","40.4","2.5"
"3484147.0","2016.0","4.0","MIA","Miami","FL","2016-04-19",,,"215840","225149","440989","75.9922","40.4","2.5"
"3865265.0","2016.0","4.0","MIA","Miami","FL","2016-04-21","2016-04-25",,"215840","225149","440989","75.9922","40.4","2.5"
"1349112.0","2016.0","4.0","PHO","Phoenix","NY","2016-04-08","2016-04-24",,,,,,,
"4469436.0","2016.0","4.0","MIA","Miami","FL","2016-04-23","2016-05-02",,"215840","225149","440989","75.9922","40.4","2.5"
"235947.0","2016.0","4.0","SEA","Seattle","WA","2016-04-02","2016-04-09",,"345659","338784","684443","49.9036","35.5","2.13"
"2903779.0","2016.0","4.0","WAS","Washington","DC","2016-04-16","2016-06-08",,"319705","352523","672228","57.5378","33.8","2.24"
"4804280.0","2016.0","4.0","DAL","Dallas","CA","2016-04-25",,,,,,,,
